school,discipline,teacher,id_student,student,behavior,start_time,end_time,duration_seconds,date,source
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-19 08:00:00,2026-03-19 08:00:38,38.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-19 08:00:45,2026-03-19 08:10:14,569.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-19 08:10:21,2026-03-19 08:10:56,35.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-19 08:10:57,2026-03-19 08:20:09,552.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-19 08:20:14,2026-03-19 08:20:33,19.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-19 08:20:36,2026-03-19 08:29:43,547.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-19 08:29:45,2026-03-19 08:31:05,80.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-19 08:31:11,2026-03-19 08:36:58,347.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-19 08:37:03,2026-03-19 08:37:27,24.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-19 08:37:35,2026-03-19 08:44:43,428.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-19 08:44:50,2026-03-19 08:47:40,170.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-19 08:47:43,2026-03-19 08:54:19,396.0,2026-03-19,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Agitado,2026-03-19 08:54:24,2026-03-19 08:55:24,60.0,2026-03-19,simulated
